Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado de larga duracion
Desempleo registrado de larga duracion;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2023;Hombre;Total;Total;45.7730388423458
Desempleo registrado de larga duracion;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2023;Hombre;Total;Total;49.9762470308789
Desempleo registrado de larga duracion;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2023;Hombre;Total;Total;49.7433264887064
Desempleo registrado de larga duracion;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2023;Hombre;Total;Total;47.771124417831
Desempleo registrado de larga duracion;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2023;Hombre;Total;Total;47.125
Desempleo registrado de larga duracion;Benimaclet + Camí de Vera;2023;Hombre;Total;Total;48.3388704318937
Desempleo registrado de larga duracion;Orriols + Torrefiel + Sant Llorenç;2023;Hombre;Total;Total;48.5733244857333
Desempleo registrado de larga duracion;16.1 Benicalap + Ciutat Fallera;2023;Hombre;Total;Total;47.6774758983348
Desempleo registrado de larga duracion;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2023;Hombre;Total;Total;38.0165289256198
Desempleo registrado de larga duracion;Benimàmet + Beniferri;2023;Hombre;Total;Total;51.7241379310345
Desempleo registrado de larga duracion;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2023;Hombre;Total;Total;50.78125
Desempleo registrado de larga duracion;la Seu;2023;Hombre;Total;Total;43.0555555555556
Desempleo registrado de larga duracion;la Xerea;2023;Hombre;Total;Total;48.6486486486487
Desempleo registrado de larga duracion;el Carme;2023;Hombre;Total;Total;48
