Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Salud mental
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;>=65;Total;6.75
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;>=65;Total;5.2857
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;>=65;Total;6.7794
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;>=65;Total;6.7273
Salud mental;Benimaclet + Camí de Vera;2024;Total;>=65;Total;6.0726
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Total;>=65;Total;6.0583
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Total;>=65;Total;6.0172
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;>=65;Total;6.9135
Salud mental;Benimàmet + Beniferri;2024;Total;>=65;Total;5.7404
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;>=65;Total;6.3362
