Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Grado de apoyo social
Grado de apoyo social;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;18-34;Total;4.7083
Grado de apoyo social;Total ciudad;2024;Total;35-64;Total;4.2432
Grado de apoyo social;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;35-64;Total;5.2679
Grado de apoyo social;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;35-64;Total;4.3443
Grado de apoyo social;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;35-64;Total;4.4328
Grado de apoyo social;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;35-64;Total;4.2295
Grado de apoyo social;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;35-64;Total;1.6393
Grado de apoyo social;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;35-64;Total;7.2931
Grado de apoyo social;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;35-64;Total;3.5909
Grado de apoyo social;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;35-64;Total;5.8406
Grado de apoyo social;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;35-64;Total;3.8657
Grado de apoyo social;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;35-64;Total;4.1579
Grado de apoyo social;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;35-64;Total;3.9265
Grado de apoyo social;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;35-64;Total;3.6389
Grado de apoyo social;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;35-64;Total;5.9688
Grado de apoyo social;Benimaclet + Camí de Vera;2024;Total;35-64;Total;4.0962
Grado de apoyo social;Orriols + Torrefiel + Sant Llorenç;2024;Total;35-64;Total;6.2
Grado de apoyo social;16.1 Benicalap + Ciutat Fallera;2024;Total;35-64;Total;1.3768
Grado de apoyo social;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;35-64;Total;4
Grado de apoyo social;Benimàmet + Beniferri;2024;Total;35-64;Total;3.3846
Grado de apoyo social;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;35-64;Total;4.7119
Grado de apoyo social;Total ciudad;2024;Total;>=65;Total;4.5462
Grado de apoyo social;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;>=65;Total;4.3478
Grado de apoyo social;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;>=65;Total;5.6389
Grado de apoyo social;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;>=65;Total;4.9706
Grado de apoyo social;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;>=65;Total;4.2333
Grado de apoyo social;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;>=65;Total;0.7778
Grado de apoyo social;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;>=65;Total;7.8261
Grado de apoyo social;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;>=65;Total;4.0968
Grado de apoyo social;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;>=65;Total;6.0882
Grado de apoyo social;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;>=65;Total;5
Grado de apoyo social;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;>=65;Total;5.625
Grado de apoyo social;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;>=65;Total;4.0303
Grado de apoyo social;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;>=65;Total;3.7353
Grado de apoyo social;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;>=65;Total;6.9333
Grado de apoyo social;Benimaclet + Camí de Vera;2024;Total;>=65;Total;4.7273
Grado de apoyo social;Orriols + Torrefiel + Sant Llorenç;2024;Total;>=65;Total;6.5333
Grado de apoyo social;16.1 Benicalap + Ciutat Fallera;2024;Total;>=65;Total;1.9655
Grado de apoyo social;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;>=65;Total;3.5
Grado de apoyo social;Benimàmet + Beniferri;2024;Total;>=65;Total;2.9615
Grado de apoyo social;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;>=65;Total;3.4643
